缺陷类型,编号,标题,状态,状态分类,优先级,处理人,负责人
硬件缺陷,195864,W1149 AI hub show【专项】【EVT】【第二轮】【适配器输出性能测试】动态负载波形:Vmin：9.119V，不满足12V±5%,测试提交,to_do,普通,杨翔宇,陈娜
硬件缺陷,195878,W1149 AI hub show【专项】【EVT】【第二轮】【TELEC 频率误差测试】AB5602B_BT：高、中、低三个信道，频率偏差均在-133ppm~-135ppm之间，超出-50ppm，测试不合格,测试提交,to_do,普通,杨翔宇,伍然
结构缺陷,195804,[EVT2] 前后壳合壳后，后壳会压按键板连接主板排线,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195805,[EVT2] 前后壳合壳紧固采用卡扣式，不便于安装和拆卸，可装配与可维修性低；拆件后后壳安装困难且牢固性不够,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195806,[EVT2] 排线插接后无判定标准易产生插接不良，排线扣合后无防松脱约束,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195807,[EVT2] 天线贴装位置无定位线，无法保证粘贴位置一致性,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195808,[EVT2] 左右两侧红外灯板排线过长，合壳后易压线,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195809,[EVT2] 主板安装位置无定位，装配需手动定位扶正效率低,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195810,[EVT2] 左右两侧扬声器安装无定位，无法保证安装位置一致性,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195811,[EVT2] 按键板咪头硅胶分体式不易安装,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195812,[EVT2] 屏幕安装后结构无避空位易压线,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195813,[EVT2] 按键卡，按键孔位需扩大加大间隙,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195814,[EVT2] PCBA安装后天线位置无支撑插接困难，射频天线未设计约束卡位易脱落,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195815,[EVT2] 后壳结构type-C位无导向槽安装困难，可装配性差,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195816,[EVT2] 右侧雷达板排线与扬声器有干涉,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195817,[EVT2] 后壳SD卡槽开口容易与PCBA SD卡槽发生错位导致SD卡口堵塞,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195818,[EVT2] LCD排线走线路径在屏幕与屏幕支架之间，走线后屏幕插主板连接器插接困难,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195819,[EVT2] 红外灯板装配到壳体过程困难需工具敲击，PCBA被敲击损坏风险高,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195820,[EVT2] 透明亚克力板粘接对工艺要求高，易产生气泡和溢胶可制造性低,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195821,[EVT2] 扬声器插座无防脱卡口,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195822,[EVT2] LCD未定义是供应商插接好出货还是工厂自己插接,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195823,[EVT2] 现有天线焊盘不方便走线,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195824,[EVT3] 天线贴后壳插接天线时易拉扯不便作业,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195825,[EVT3] 灯板排线与亚克力板有干涉,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195826,[EVT3] 天线背胶离型纸在天线缺口处撕背胶时容易撕裂天线,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195827,[EVT3] 红外接收板与屏幕支架有干涉,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195828,[EVT3] 灯板两端PCB细小使用手板分板易断裂,测试提交,to_do,普通,韩亚男,马薇薇
结构缺陷,195829,[EVT3] 硅麦胶套打胶有堵孔风险,测试提交,to_do,普通,韩亚男,马薇薇
